"horario.inicial","horario.final","local","onibus","caminhao","veiculos","carros","motos","motorizados","mulheres.ciclistas","calcada","ciclistas","mulheres.pedestres","fora.da.faixa","cachorro","pedestres","sustentaveis"
"11:45","12:00","jackson",3,7,160,150,67,227,"0","0",6,"7","0","0",24,30
"12:00","12:15","bobs",1,1,201,199,62,263,"0","0",9,"11","0","0",29,38
"12:00","12:15","burrinhos",4,7,665,654,362,1027,"0","1",13,"15","3","0",64,77
"12:00","12:15","jackson",0,4,173,169,74,247,"0","0",7,"10","0","0",18,25
"12:15","12:30","bobs",1,0,142,141,47,189,"0","0",10,"6","0","0",20,30
"12:15","12:30","burrinhos",3,4,719,712,372,1091,"0","5",10,"16","2","0",60,70
"12:15","12:30","jackson",4,4,163,155,45,208,"0","0",4,"2","0","0",16,20
"12:30","12:45","bobs",0,2,152,150,53,205,"0","0",7,"8","0","0",27,34
"12:30","12:45","burrinhos",6,6,853,841,312,1165,"0","3",10,"15","3","0",49,59
"12:30","12:45","jackson",1,4,121,116,51,172,"0","0",7,"2","0","0",19,26
"12:45","13:00","bobs",0,2,194,192,84,278,"0","0",16,"17","0","0",33,49
"12:45","13:00","burrinhos",3,3,833,827,355,1188,"0","2",13,"28","7","0",68,81
"12:45","13:00","jackson",4,4,126,118,47,173,"0","0",8,"2","0","0",5,13
"13:00","13:15","bobs",0,4,213,209,64,277,"1","0",13,"6","0","0",32,45
"13:00","13:15","burrinhos",3,3,792,786,366,1158,"0","1",9,"27","3","0",72,81
"13:00","13:15","jackson",2,3,138,133,59,197,"0","0",7,"4","0","0",14,21
"13:15","13:30","bobs",0,5,182,177,70,252,"0","0",9,"18","0","0",53,62
"13:15","13:30","burrinhos",2,5,739,732,339,1078,"0","3",14,"26","2","0",66,80
"13:15","13:30","jackson",3,6,149,140,64,213,"0","0",8,"24","0","0",42,50
"13:30","13:45","bobs",0,5,189,184,60,249,"0","0",7,"12","0","0",24,31
"13:30","13:45","burrinhos",2,9,709,698,314,1023,"0","2",7,"23","2","0",63,70
"13:30","13:45","jackson",2,4,134,128,50,184,"0","0",9,"10","0","1",26,35
"13:45","14:00","bobs",0,3,223,220,70,293,"0","0",10,"2","0","0",14,24
"13:45","14:00","burrinhos",0,2,797,795,370,1167,"0","0",8,"20","2","0",61,69
"13:45","14:00","jackson",0,2,153,151,58,211,"0","0",11,"5","0","0",14,25
"14:00","14:15","bobs",0,9,204,195,70,274,"0","0",9,"11","0","0",27,36
"14:00","14:15","burrinhos",2,10,912,900,430,1342,"0","2",12,"10","6","0",58,70
"14:00","14:15","jackson",2,7,171,162,52,223,"0","0",6,"11","0","0",19,25
