"horario.inicial","horario.final","local","onibus","caminhao","veiculos","carros","motos","total"
"16:00","16:15","jackson",0,4,172,168,61,233
"16:15","16:30","bobs",1,0,171,170,63,234
"16:15","16:30","burrinhos",5,13,839,821,318,1157
"16:15","16:30","jackson",1,4,165,160,64,229
"16:30","16:45","bobs",0,1,169,168,60,229
"16:30","16:45","burrinhos",5,20,642,617,345,987
"16:30","16:45","jackson",0,4,168,164,62,230
"16:45","17:00","bobs",0,2,207,205,96,303
"16:45","17:00","burrinhos",5,4,695,686,333,1028
"16:45","17:00","jackson",2,8,171,161,82,253
"17:00","17:15","bobs",0,0,191,191,100,291
"17:00","17:15","burrinhos",10,8,767,749,410,1177
"17:00","17:15","jackson",4,5,152,143,51,203
"17:15","17:30","bobs",2,2,185,181,61,246
"17:15","17:30","burrinhos",11,9,941,921,382,1323
"17:15","17:30","jackson",2,2,164,160,66,230
"17:30","17:45","bobs",2,1,212,209,69,281
"17:30","17:45","burrinhos",7,13,886,866,334,1220
"17:30","17:45","jackson",4,3,195,188,72,267
"17:45","18:00","bobs",1,1,192,190,76,268
"17:45","18:00","burrinhos",29,7,828,792,323,1151
"17:45","18:00","jackson",6,10,137,121,64,201
"18:00","18:15","bobs",0,0,215,215,90,305
"18:00","18:15","burrinhos",20,6,564,538,420,984
"18:00","18:15","jackson",7,0,132,125,70,202
"18:15","18:30","bobs",0,0,170,170,76,246
"18:15","18:30","burrinhos",24,9,586,553,301,887
"18:15","18:30","jackson",11,8,166,147,64,230
"18:30","18:45","bobs",2,1,184,181,82,266
"18:30","18:45","burrinhos",10,6,556,540,185,741
"18:30","18:45","jackson",6,3,129,120,61,190
"18:45","19:00","bobs",1,3,165,161,76,241
"18:45","19:00","burrinhos",5,4,448,439,259,707
"18:45","19:00","jackson",1,2,124,121,64,188
"19:00","19:15","bobs",0,0,116,116,64,180
"19:00","19:15","burrinhos",7,5,445,433,262,707
"19:00","19:15","jackson",1,2,122,119,49,171
"19:15","19:30","bobs",0,1,145,144,53,198
"19:15","19:30","burrinhos",0,4,322,318,178,500
"19:15","19:30","jackson",1,2,104,101,43,147
"19:30","19:45","bobs",0,1,155,154,38,193
"19:30","19:45","burrinhos",4,1,298,293,137,435
"19:30","19:45","jackson",1,1,81,79,36,117
"19:45","20:00","bobs",0,0,148,148,34,182
"19:45","20:00","burrinhos",2,1,254,251,154,408
"19:45","20:00","jackson",1,0,74,73,48,122
"20:00","20:15","bobs",0,0,109,109,49,158
"20:00","20:15","burrinhos",1,1,298,296,172,470
"20:00","20:15","jackson",1,1,107,105,45,152
"20:15","20:30","bobs",0,0,107,107,53,160
"20:15","20:30","burrinhos",1,1,235,233,109,344
"20:15","20:30","jackson",0,2,68,66,17,85
"20:30","20:45","bobs",0,1,106,105,39,145
"20:30","20:45","burrinhos",0,0,221,221,113,334
"20:30","20:45","jackson",1,3,69,65,32,101
"20:45","21:00","bobs",0,2,75,73,32,107
"20:45","21:00","burrinhos",0,1,280,279,131,411
"20:45","21:00","jackson",0,1,89,88,15,104
