Horário,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8 , trajeto 9,trajeto 10,trajeto 11,trajeto 12,trajeto 13,trajeto 14,trajeto 15,trajeto 16,trajeto 17,trajeto 18,trajeto 19,trajeto 20,trajeto 21,trajeto 22,trajeto 23,trajeto 24,trajeto 25,trajeto 26,trajeto 27,mulher,calçada,total
17:00,17:15,1,0,1,0,0,1,4,0,0,0,1,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,18
17:15,17:30,2,0,3,0,0,2,5,0,0,0,0,0,2,0,0,3,4,2,1,8,0,0,0,0,0,0,0,0,4,36
17:30,17:45,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,1,19
17:45,18:00,0,0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,2,21
18:00,18:15,0,2,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
18:15,18:30,0,3,0,1,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
18:30,18:45,2,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
18:45,19:00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
19:00,19:15,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
19:15,19:30,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
19:30,19:45,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
19:45,20:00,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
20:00,20:15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20:15,20:30,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8
20:30,20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:45,21:00,0,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,112
,,19,38,30,23,10,72,233,18,20,26,31,26,103,28,36,36,48,17,38,47,9,10,15,0,5,15,2,24,81,1036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,32%","7,82%",
